entity,mean_tfidf
trump,0.11578392235905109
as,0.11520582912511068
amerika,0.09923503277201044
indonesia,0.09151009124604419
serikat,0.090258980977635
presiden,0.08542859137152213
donald,0.08086594318349713
china,0.06692263736568997
jakarta,0.065613329253807
april,0.055870892783607934
pemerintah,0.05558316300297256
cnbc,0.04455998186036229
rabu,0.039279631936390884
eropa,0.039229084648365685
kedua,0.03724486373373824
menteri,0.03659833067815864
persen,0.03650602055710117
dua,0.03576607765994889
kanada,0.035455432329710254
us,0.03515028740209947
bloomberg,0.03445939370917395
pertama,0.03264855345614995
selasa,0.03185344249323526
meksiko,0.03169611733485057
kamis,0.031224559576726017
washington,0.031155204741886128
uni,0.030156085409598382
satu,0.03000665272855072
com,0.02987035852705882
putih,0.02935628160605662
senin,0.029064673974957527
gedung,0.0281635921412174
rp,0.028056590514385634
perdagangan,0.02614427445178366
asia,0.02521739216526479
kementerian,0.02515506208788085
tiga,0.025152726306899617
bank,0.024441049819933888
dolar,0.024253302299656457
ri,0.023762894090904246
beijing,0.02359362218241111
jumat,0.023387763455335678
miliar,0.023049924608324324
airlangga,0.022466159403950733
news,0.022272673797075638
wib,0.022242141283153122
januari,0.0220809123915303
mobil,0.021058715545946183
maret,0.020667430438080215
sabtu,0.020332109868341212
tiongkok,0.020311798240661778
februari,0.019874388788649784
the,0.01922335218968552
mei,0.019144142858661815
minggu,0.018923888655682716
negeri,0.018600824406869464
pemerintahan,0.01848979850473544
vietnam,0.018453361140407427
minyak,0.018122259100371806
kompas,0.018016228228373902
prabowo,0.017685006495874407
keuangan,0.01707677723285595
co,0.01630454281564194
selatan,0.015515567381852982
saham,0.015326592742160637
india,0.015283910723396634
rupiah,0.015231214448869733
usd,0.015091322864761645
jepang,0.014951475414176244
dan,0.014504509278857497
ketua,0.014437298792829185
direktur,0.014283022494279134
triliun,0.014232757123061017
reuters,0.014207478092521613
cina,0.013994372435979499
perekonomian,0.01370815443730175
juni,0.013472192895006221
bidang,0.013283584246114229
tempo,0.013226204354738367
juta,0.013223239416034606
internasional,0.013176121749563527
ekonomi,0.013098064151780229
sam,0.01295469854624068
wakil,0.012698158070222865
korea,0.012502871981609138
dollar,0.01229946703774674
kepala,0.012291252935418303
scott,0.012029257090973619
new,0.011938010324134904
konferensi,0.011904804164377452
asean,0.011876304286037538
koordinator,0.01187084987980571
hartarto,0.011675563140762272
indeks,0.011620621309801614
inggris,0.011613148852140754
ue,0.011499758970964639
partai,0.011478103032728329
of,0.011448576914737415
technoz,0.011325732235507528
dc,0.011316102561196337
bessent,0.011198915011747045
luar,0.011188733742705589
sri,0.011131070002599523
kantor,0.011114666612164337
wto,0.011050069659407814
empat,0.010857840142300802
apple,0.010793989724001148
komisi,0.010739504200112658
bi,0.010624159802303
subianto,0.010616884337061941
pers,0.010604465313849752
trade,0.010469327559277288
ketiga,0.01045845596510039
bisnis,0.01044809856316965
tahun,0.01024428673351028
dunia,0.01021676818033757
apr,0.010176690891390332
departemen,0.010117388227396117
swiss,0.010067597063306913
perdana,0.010008557300439397
lima,0.009875292027001426
york,0.009812154638966028
hari,0.009718181838881741
fed,0.009705543404587324
dewan,0.009675942665000485
xi,0.009636011213556324
baja,0.009606102275188698
federal,0.009592796169235404
paman,0.009588177355309518
pemimpin,0.009517159600416375
scroll,0.009332138689861312
republik,0.009319311267650357
pt,0.009139216600395251
universitas,0.009123349090252439
australia,0.008872354792570857
international,0.0088574554239533
aluminium,0.008762013352620812
ceo,0.008727884659395365
mulyani,0.008602171129787282
malaysia,0.008571045982538286
thailand,0.00848104155285306
bulan,0.008437688462700255
pesawat,0.008343022711315692
imf,0.008332273354230141
dagang,0.00823803253932476
bitcoin,0.008176703340708103
inc,0.00815124284641505
mesin,0.00808927800149527
jenewa,0.008017352631924435
kongres,0.008013682522478544
asosiasi,0.008011957084687478
rusia,0.007925792977307404
nasional,0.007896148607277746
asdonald,0.007854801514398399
singapura,0.007764334466226884
juli,0.0076269317932350965
jinping,0.007607202081803468
pengadilan,0.007555544913871604
economic,0.007546701922083827
brasil,0.007514451840821887
serikatdonald,0.007513602372402807
wall,0.007395431098610665
iphone,0.007339194271016827
utara,0.007331419652528891
timur,0.007322815177002687
taiwan,0.0072670021031693175
organisasi,0.007206357963691648
truth,0.007149980782366219
howard,0.007129985910517158
and,0.007067257278527424
badan,0.006990804378101685
ihsg,0.006969141840595342
umum,0.006942540996967096
fentanil,0.006920442336695373
ustr,0.006819074496923243
desember,0.0067715283124228625
pusat,0.006759965899997969
menko,0.006701417357103322
chip,0.006683848905152309
bicara,0.0066208163850694874
prancis,0.006548008015827778
juru,0.006532054963696016
tenggara,0.006521193299390126
social,0.006364577836804578
bursa,0.006244218656522932
times,0.00623764013905744
ibrahim,0.006184812803730638
perwakilan,0.006183361143619591
sentral,0.006130075330204819
tim,0.005951910293729817
powell,0.0058454944620062845
mentah,0.005816365303443758
negara,0.005799296610755106
lutnick,0.005608720134424117
reserve,0.005485760377019828
qris,0.005471114486485663
jerman,0.005405104647523592
united,0.005167982302260094
greer,0.005087143644370484
kemendag,0.005031065726621735
