word,entity_group,frequency,word_lower,mean_tfidf,freq_normalized,combined_score
amerika serikat,GPE,1727,amerika serikat,0.0,1.0,0.5
trump,PER,1440,trump,0.11582480334818109,0.8338158656629994,0.47482033450559025
indonesia,GPE,557,indonesia,0.09507914413197305,0.322524609148813,0.208801876640393
china,GPE,445,china,0.0717066772163653,0.2576722640416908,0.16468947062902806
jakarta,GPE,342,jakarta,0.06555585309430251,0.19803126809496235,0.13179356059463243
presiden as,NOR,400,presiden as,0.0,0.23161551823972207,0.11580775911986103
april,DAT,246,april,0.05574560440726656,0.14244354371742907,0.09909457406234781
pemerintah,NOR,228,pemerintah,0.055394565849905396,0.13202084539664158,0.09370770562327349
presiden,NOR,169,presiden,0.08545954548291403,0.09785755645628257,0.0916585509695983
kedua,CRD,181,kedua,0.037150074899147685,0.10480602200347423,0.07097804845131096
persen,PRC,169,persen,0.03643386797544613,0.09785755645628257,0.06714571221586435
rabu,DAT,153,rabu,0.03943549069891234,0.08859293572669369,0.06401421321280301
dua,CRD,151,dua,0.035727744009605183,0.08743485813549508,0.06158130107255013
kanada,GPE,148,kanada,0.03537283466603348,0.08569774174869717,0.060535288207365326
eropa,GPE,132,eropa,0.04239058241596329,0.07643312101910828,0.05941185171753578
pertama,ORD,143,pertama,0.03250313542072504,0.08280254777070063,0.057652841595712837
meksiko,GPE,130,meksiko,0.03165683238990625,0.07527504342790967,0.053465937908907954
satu,CRD,125,satu,0.029861718053325,0.07237984944991314,0.051120783751619076
selasa,DAT,115,selasa,0.031773400111934934,0.06658946149392009,0.049181430802927514
senin,DAT,119,senin,0.02901438390945316,0.06890561667631731,0.048960000292885233
kamis,DAT,114,kamis,0.03124568928479495,0.06601042269832079,0.04862805599155787
washington,GPE,114,washington,0.031153774548228822,0.06601042269832079,0.048582098623274804
cnbc indonesia,ORG,153,cnbc indonesia,0.0,0.08859293572669369,0.044296467863346844
presiden amerika serikat,NOR,144,presiden amerika serikat,0.0,0.08338158656629995,0.04169079328314997
uni,GPE,79,uni,0.0346130105796195,0.045744064852345105,0.0401785377159823
jumat,DAT,92,jumat,0.023324521209628458,0.05327156919513607,0.038298045202382267
