word,entity_group,frequency,word_lower,mean_tfidf,freq_normalized,combined_score
as,GPE,818,as,0.11520582912511068,1.0,0.5576029145625554
trump,PER,686,trump,0.11578392235905109,0.8386308068459658,0.47720736460250845
donald trump,PER,667,donald trump,0.0,0.815403422982885,0.4077017114914425
indonesia,GPE,397,indonesia,0.09151009124604419,0.48533007334963324,0.2884200822978387
china,GPE,359,china,0.06692263736568997,0.4388753056234719,0.2528989714945809
amerika,GPE,284,amerika,0.09923503277201044,0.3471882640586797,0.22321164841534508
jakarta,GPE,273,jakarta,0.065613329253807,0.33374083129584353,0.19967708027482528
amerika serikat,GPE,316,amerika serikat,0.0,0.3863080684596577,0.19315403422982885
pemerintah,NOR,227,pemerintah,0.05558316300297256,0.2775061124694376,0.1665446377362051
april,DAT,222,april,0.055870892783607934,0.2713936430317848,0.16363226790769636
presiden,NOR,145,presiden,0.08542859137152213,0.17726161369193155,0.13134510253172685
presiden amerika serikat as,NOR,207,presiden amerika serikat as,0.0,0.2530562347188264,0.1265281173594132
presiden as,NOR,192,presiden as,0.0,0.23471882640586797,0.11735941320293398
kanada,GPE,146,kanada,0.035455432329710254,0.1784841075794621,0.10696976995458618
dua,CRD,141,dua,0.03576607765994889,0.17237163814180928,0.10406885790087908
pertama,ORD,143,pertama,0.03264855345614995,0.17481662591687042,0.10373258968651018
persen,PRC,130,persen,0.03650602055710117,0.15892420537897312,0.09771511296803714
rabu,DAT,127,rabu,0.039279631936390884,0.1552567237163814,0.09726817782638615
serikat,GPE,78,serikat,0.090258980977635,0.09535452322738386,0.09280675210250944
meksiko,GPE,124,meksiko,0.03169611733485057,0.15158924205378974,0.09164267969432015
satu,CRD,122,satu,0.03000665272855072,0.1491442542787286,0.08957545350363966
presiden amerika serikat,NOR,144,presiden amerika serikat,0.0,0.17603911980440098,0.08801955990220049
donald,PER,77,donald,0.08086594318349713,0.0941320293398533,0.08749898626167521
eropa,GPE,108,eropa,0.039229084648365685,0.13202933985330073,0.08562921225083321
indonesia,ORG,65,indonesia,0.09151009124604419,0.07946210268948656,0.08548609696776538
trump,ORG,44,trump,0.11578392235905109,0.05378973105134474,0.08478682670519791
kedua,CRD,107,kedua,0.03724486373373824,0.13080684596577016,0.0840258548497542
washington,GPE,107,washington,0.031155204741886128,0.13080684596577016,0.08098102535382815
selasa,DAT,102,selasa,0.03185344249323526,0.12469437652811736,0.07827390951067631
senin,DAT,104,senin,0.029064673974957527,0.1271393643031785,0.078102019139068
kamis,DAT,101,kamis,0.031224559576726017,0.1234718826405868,0.07734822110865641
as,ORG,27,as,0.11520582912511068,0.03300733496332518,0.07410658204421794
cnbc indonesia,ORG,121,cnbc indonesia,0.0,0.14792176039119803,0.07396088019559902
trump,PRD,21,trump,0.11578392235905109,0.02567237163814181,0.07072814699859645
serikat,ORG,39,serikat,0.090258980977635,0.04767726161369193,0.06896812129566346
jakarta,ORG,59,jakarta,0.065613329253807,0.07212713936430318,0.06887023430905509
as,NOR,15,as,0.11520582912511068,0.018337408312958436,0.06677161871903456
trump,NOR,13,trump,0.11578392235905109,0.01589242053789731,0.0658381714484742
beijing,GPE,86,beijing,0.02359362218241111,0.10513447432762836,0.06436404825501973
kedua,ORD,74,kedua,0.03724486373373824,0.09046454767726161,0.06385470570549992
jumat,DAT,85,jumat,0.023387763455335678,0.1039119804400978,0.06364987194771674
trump,EVT,5,trump,0.11578392235905109,0.006112469437652812,0.06094819589835195
tiga,CRD,78,tiga,0.025152726306899617,0.09535452322738386,0.06025362476714174
as,PRD,4,as,0.11520582912511068,0.004889975550122249,0.06004790233761646
