article_idx,judul,url,entity_count,entities_json
0,Trump Sebar Exceutive Order: Emang Semengerikan Apa Buat Indonesia? - CNBC Indonesia,https://www.cnbcindonesia.com/research/20250121134003-128-604841/trump-sebar-exceutive-order-emang-semengerikan-apa-buat-indonesia,17,"[{""word"": ""jakarta"", ""entity_group"": ""ORG"", ""score"": 0.4804}, {""word"": ""cnbc indonesia"", ""entity_group"": ""ORG"", ""score"": 0.6007}, {""word"": ""amerika serikat as"", ""entity_group"": ""NOR"", ""score"": 0.499}, {""word"": ""presiden amerika serikat as"", ""entity_group"": ""NOR"", ""score"": 0.9504}, {""word"": ""donald trump"", ""entity_group"": ""PER"", ""score"": 0.9883}, {""word"": ""senin"", ""entity_group"": ""DAT"", ""score"": 0.9954}, {""word"": ""as"", ""entity_group"": ""GPE"", ""score"": 0.9566}, {""word"": ""trump"", ""entity_group"": ""PER"", ""score"": 0.9782}, {""word"": ""obligasi"", ""entity_group"": ""PRD"", ""score"": 0.5109}, {""word"": ""bank sentral as"", ""entity_group"": ""ORG"", ""score"": 0.9205}, {""word"": ""the fed"", ""entity_group"": ""ORG"", ""score"": 0.8098}, {""word"": ""abc news"", ""entity_group"": ""ORG"", ""score"": 0.8903}, {""word"": ""pertama"", ""entity_group"": ""ORD"", ""score"": 0.8934}, {""word"": ""joe"", ""entity_group"": ""PER"", ""score"": 0.2851}, {""word"": ""washington"", ""entity_group"": ""GPE"", ""score"": 0.5777}, {""word"": ""pemerintah"", ""entity_group"": ""NOR"", ""score"": 0.8492}, {""word"": ""kongres"", ""entity_group"": ""NOR"", ""score"": 0.5367}]"
1,"Alasan Rupiah 'Berpesta' di Pelantikan Trump, Dolar Bisa Rp15.000an? - CNBC Indonesia",https://www.cnbcindonesia.com/research/20250121104028-128-604769/alasan-rupiah-berpesta-di-pelantikan-trump-dolar-bisa-rp15000an,21,"[{""word"": ""jakarta"", ""entity_group"": ""GPE"", ""score"": 0.5637}, {""word"": ""cnbc indonesia"", ""entity_group"": ""ORG"", ""score"": 0.6833}, {""word"": ""rupiah"", ""entity_group"": ""MON"", ""score"": 0.9595}, {""word"": ""dolar amerika serikat as"", ""entity_group"": ""MON"", ""score"": 0.9594}, {""word"": ""donald trump"", ""entity_group"": ""PER"", ""score"": 0.9839}, {""word"": ""presiden as"", ""entity_group"": ""NOR"", ""score"": 0.8785}, {""word"": ""rp us"", ""entity_group"": ""MON"", ""score"": 0.9886}, {""word"": ""januari"", ""entity_group"": ""DAT"", ""score"": 0.9895}, {""word"": ""satu"", ""entity_group"": ""QTY"", ""score"": 0.5396}, {""word"": ""dolar as"", ""entity_group"": ""MON"", ""score"": 0.8005}, {""word"": ""trump"", ""entity_group"": ""PER"", ""score"": 0.9251}, {""word"": ""kedua"", ""entity_group"": ""ORD"", ""score"": 0.7089}, {""word"": ""reuters"", ""entity_group"": ""ORG"", ""score"": 0.952}, {""word"": ""pemerintahan trump"", ""entity_group"": ""NOR"", ""score"": 0.5546}, {""word"": ""pertama"", ""entity_group"": ""ORD"", ""score"": 0.93}, {""word"": ""china"", ""entity_group"": ""GPE"", ""score"": 0.6582}, {""word"": ""kanada"", ""entity_group"": ""GPE"", ""score"": 0.7862}, {""word"": ""meksiko"", ""entity_group"": ""MON"", ""score"": 0.3006}, {""word"": ""narkoba"", ""entity_group"": ""PRD"", ""score"": 0.4198}, {""word"": ""as"", ""entity_group"": ""GPE"", ""score"": 0.933}, {""word"": ""senin"", ""entity_group"": ""DAT"", ""score"": 0.6799}]"
2,"Trump Beri Kabar Baik, Saatnya Menunggu Dolar Eksportir Balik ke RI - CNBC Indonesia",https://www.cnbcindonesia.com/research/20250121225049-128-604990/trump-beri-kabar-baik-saatnya-menunggu-dolar-eksportir-balik-ke-ri,20,"[{""word"": ""jakarta"", ""entity_group"": ""GPE"", ""score"": 0.7137}, {""word"": ""cnbc indonesia"", ""entity_group"": ""ORG"", ""score"": 0.661}, {""word"": ""indonesia"", ""entity_group"": ""GPE"", ""score"": 0.6762}, {""word"": ""donald trump"", ""entity_group"": ""PER"", ""score"": 0.9769}, {""word"": ""presiden amerika serikat as"", ""entity_group"": ""NOR"", ""score"": 0.8443}, {""word"": ""indeks harga saham gabungan"", ""entity_group"": ""PRD"", ""score"": 0.8124}, {""word"": ""rupiah"", ""entity_group"": ""MON"", ""score"": 0.8915}, {""word"": ""negara sbn"", ""entity_group"": ""PRD"", ""score"": 0.4028}, {""word"": ""selasa"", ""entity_group"": ""DAT"", ""score"": 0.9803}, {""word"": ""rp us"", ""entity_group"": ""MON"", ""score"": 0.9793}, {""word"": ""januari"", ""entity_group"": ""DAT"", ""score"": 0.9892}, {""word"": ""indeks dolar as dxy"", ""entity_group"": ""PRD"", ""score"": 0.682}, {""word"": ""kedua"", ""entity_group"": ""ORD"", ""score"": 0.8101}, {""word"": ""trump"", ""entity_group"": ""PER"", ""score"": 0.9593}, {""word"": ""pertama"", ""entity_group"": ""ORD"", ""score"": 0.6236}, {""word"": ""china"", ""entity_group"": ""GPE"", ""score"": 0.9333}, {""word"": ""kanada"", ""entity_group"": ""GPE"", ""score"": 0.8262}, {""word"": ""meksiko"", ""entity_group"": ""GPE"", ""score"": 0.7323}, {""word"": ""as"", ""entity_group"": ""GPE"", ""score"": 0.9473}, {""word"": ""amerika"", ""entity_group"": ""GPE"", ""score"": 0.9291}]"
3,"IHSG Merah Lagi, Begini Penjelasan dari Analis! - CNBC Indonesia",https://www.cnbcindonesia.com/research/20250304162959-128-615594/ihsg-merah-lagi-begini-penjelasan-dari-analis,25,"[{""word"": ""jakarta"", ""entity_group"": ""ORG"", ""score"": 0.7642}, {""word"": ""cnbc indonesia"", ""entity_group"": ""ORG"", ""score"": 0.8826}, {""word"": ""harga saham gabungan"", ""entity_group"": ""PRD"", ""score"": 0.7218}, {""word"": ""ihsg"", ""entity_group"": ""ORG"", ""score"": 0.3844}, {""word"": ""tiga"", ""entity_group"": ""QTY"", ""score"": 0.5867}, {""word"": ""selasa"", ""entity_group"": ""DAT"", ""score"": 0.9782}, {""word"": ""rp triliun"", ""entity_group"": ""MON"", ""score"": 0.9922}, {""word"": ""saham emiten"", ""entity_group"": ""PRD"", ""score"": 0.5482}, {""word"": ""amman mineral internasional ammn"", ""entity_group"": ""ORG"", ""score"": 0.8089}, {""word"": ""poin"", ""entity_group"": ""PRD"", ""score"": 0.6673}, {""word"": ""ihsg"", ""entity_group"": ""PRD"", ""score"": 0.7008}, {""word"": ""prajogo pangestu"", ""entity_group"": ""PER"", ""score"": 0.6538}, {""word"": ""barito renewables energy"", ""entity_group"": ""ORG"", ""score"": 0.441}, {""word"": ""prajogo"", ""entity_group"": ""ORG"", ""score"": 0.3442}, {""word"": ""chandra"", ""entity_group"": ""ORG"", ""score"": 0.381}, {""word"": ""asri"", ""entity_group"": ""ORG"", ""score"": 0.3017}, {""word"": ""tpia"", ""entity_group"": ""ORG"", ""score"": 0.9027}, {""word"": ""emiten"", ""entity_group"": ""ORG"", ""score"": 0.4533}, {""word"": ""grup"", ""entity_group"": ""ORG"", ""score"": 0.6015}, {""word"": ""pani"", ""entity_group"": ""ORG"", ""score"": 0.739}, {""word"": ""brms"", ""entity_group"": ""ORG"", ""score"": 0.7274}, {""word"": ""indonesia"", ""entity_group"": ""ORG"", ""score"": 0.854}, {""word"": ""bei"", ""entity_group"": ""ORG"", ""score"": 0.807}, {""word"": ""otoritas"", ""entity_group"": ""ORG"", ""score"": 0.4552}, {""word"": ""jumat"", ""entity_group"": ""ORG"", ""score"": 0.3491}]"
4,Bernstein: Bitcoin Bisa Naik 2x Lipat! Target $200K? - INDODAX,https://indodax.com/academy/bitcoin-200k-prediksi-harga-bernstein-2025-2026/,12,"[{""word"": ""btc"", ""entity_group"": ""PRD"", ""score"": 0.6283}, {""word"": ""btc"", ""entity_group"": ""ORG"", ""score"": 0.6953}, {""word"": ""bernsteinmenegaskan"", ""entity_group"": ""ORG"", ""score"": 0.8031}, {""word"": ""bitcoin"", ""entity_group"": ""PRD"", ""score"": 0.9349}, {""word"": ""coinmarketcap"", ""entity_group"": ""PRD"", ""score"": 0.273}, {""word"": ""crypto"", ""entity_group"": ""PRD"", ""score"": 0.405}, {""word"": ""persetujuanetf bitcoin"", ""entity_group"": ""ORG"", ""score"": 0.4258}, {""word"": ""spot"", ""entity_group"": ""PRD"", ""score"": 0.4452}, {""word"": ""astelah"", ""entity_group"": ""LOC"", ""score"": 0.4692}, {""word"": ""changer"", ""entity_group"": ""PRD"", ""score"": 0.414}, {""word"": ""bitcoinjuga"", ""entity_group"": ""PRD"", ""score"": 0.887}, {""word"": ""empat"", ""entity_group"": ""CRD"", ""score"": 0.4288}]"
5,Penjelasan Lengkap Prabowo Respons Kebijakan Terbaru Tarif Trump AS - CNBC Indonesia,https://www.cnbcindonesia.com/news/20250407215730-4-624044/penjelasan-lengkap-prabowo-respons-kebijakan-terbaru-tarif-trump-as,17,"[{""word"": ""jakarta"", ""entity_group"": ""GPE"", ""score"": 0.6914}, {""word"": ""cnbc indonesia"", ""entity_group"": ""ORG"", ""score"": 0.5247}, {""word"": ""prabowo subianto"", ""entity_group"": ""PER"", ""score"": 0.9932}, {""word"": ""presiden amerika serikat"", ""entity_group"": ""NOR"", ""score"": 0.948}, {""word"": ""donald trump"", ""entity_group"": ""PER"", ""score"": 0.9917}, {""word"": ""prabowo"", ""entity_group"": ""PER"", ""score"": 0.9976}, {""word"": ""enam"", ""entity_group"": ""CRD"", ""score"": 0.9355}, {""word"": ""hambalang"", ""entity_group"": ""GPE"", ""score"": 0.8191}, {""word"": ""kabupaten bogor"", ""entity_group"": ""GPE"", ""score"": 0.7954}, {""word"": ""jawa barat"", ""entity_group"": ""GPE"", ""score"": 0.7554}, {""word"": ""kepala"", ""entity_group"": ""NOR"", ""score"": 0.4837}, {""word"": ""sepatu garmen"", ""entity_group"": ""PRD"", ""score"": 0.6652}, {""word"": ""indonesia"", ""entity_group"": ""GPE"", ""score"": 0.9709}, {""word"": ""as"", ""entity_group"": ""GPE"", ""score"": 0.9884}, {""word"": ""we"", ""entity_group"": ""PER"", ""score"": 0.4632}, {""word"": ""they"", ""entity_group"": ""PER"", ""score"": 0.6053}, {""word"": ""going"", ""entity_group"": ""PER"", ""score"": 0.4266}]"
6,"IHSG Tertekan, BPJS Ketenagakerjaan dan Taspen Tambah Portofolio di Pasar Saham - BPJS Ketenagakerjaan","https://www.bpjsketenagakerjaan.go.id/berita/29388/IHSG-Tertekan,-BPJS-Ketenagakerjaan-dan-Taspen-Tambah-Portofolio-di-Pasar-Saham",15,"[{""word"": ""presiden amerika serikat"", ""entity_group"": ""NOR"", ""score"": 0.9609}, {""word"": ""donald trump"", ""entity_group"": ""PER"", ""score"": 0.9942}, {""word"": ""indonesia"", ""entity_group"": ""GPE"", ""score"": 0.5926}, {""word"": ""pembukaan perdagangan sesi i"", ""entity_group"": ""EVT"", ""score"": 0.6362}, {""word"": ""selasa"", ""entity_group"": ""DAT"", ""score"": 0.9768}, {""word"": ""bursa efek indonesia"", ""entity_group"": ""ORG"", ""score"": 0.8485}, {""word"": ""trump"", ""entity_group"": ""PER"", ""score"": 0.9578}, {""word"": ""april"", ""entity_group"": ""DAT"", ""score"": 0.9915}, {""word"": ""as"", ""entity_group"": ""GPE"", ""score"": 0.9295}, {""word"": ""lembaga pengelola dana publik pelat merah"", ""entity_group"": ""ORG"", ""score"": 0.6639}, {""word"": ""bpjs ketenagakerjaan bpjs tk"", ""entity_group"": ""NOR"", ""score"": 0.6483}, {""word"": ""saham saham"", ""entity_group"": ""PRD"", ""score"": 0.6344}, {""word"": ""direktur pengembangan investasi bpjs tk"", ""entity_group"": ""NOR"", ""score"": 0.5931}, {""word"": ""edwin ridwan"", ""entity_group"": ""PER"", ""score"": 0.991}, {""word"": ""edwin"", ""entity_group"": ""PER"", ""score"": 0.9078}]"
7,Dampak Penangguhan Tarif Trump: Bitcoin Naik Pesat - INDODAX,https://indodax.com/academy/dampak-penangguhan-tarif-trump-bitcoin-naik/,17,"[{""word"": ""presidendonald"", ""entity_group"": ""NOR"", ""score"": 0.5438}, {""word"": ""trumpuntuk"", ""entity_group"": ""PER"", ""score"": 0.8368}, {""word"": ""as"", ""entity_group"": ""GPE"", ""score"": 0.975}, {""word"": ""bitcoin btc"", ""entity_group"": ""PRD"", ""score"": 0.9275}, {""word"": ""bitcoin"", ""entity_group"": ""PRD"", ""score"": 0.9107}, {""word"": ""trump"", ""entity_group"": ""PER"", ""score"": 0.9158}, {""word"": ""april"", ""entity_group"": ""DAT"", ""score"": 0.9503}, {""word"": ""saham as"", ""entity_group"": ""ORG"", ""score"": 0.5845}, {""word"": ""nasdaq"", ""entity_group"": ""ORG"", ""score"": 0.8575}, {""word"": ""dow jones"", ""entity_group"": ""ORG"", ""score"": 0.8895}, {""word"": ""com"", ""entity_group"": ""PRD"", ""score"": 0.6026}, {""word"": ""bitcoinmelampaui"", ""entity_group"": ""PRD"", ""score"": 0.4428}, {""word"": ""time"", ""entity_group"": ""PRD"", ""score"": 0.7604}, {""word"": ""jam"", ""entity_group"": ""PRD"", ""score"": 0.6644}, {""word"": ""trump"", ""entity_group"": ""PRD"", ""score"": 0.4215}, {""word"": ""crypto"", ""entity_group"": ""PRD"", ""score"": 0.6331}, {""word"": ""safe"", ""entity_group"": ""PRD"", ""score"": 0.6063}]"
8,"Indonesia Perluas Akses Pasar Dunia, Mengurangi Tekanan Tarif Trump - Bisnis.com",https://infografik.bisnis.com/read/20250411/547/1868394/indonesia-perluas-akses-pasar-dunia-mengurangi-tekanan-tarif-trump,20,"[{""word"": ""bisnis com jakarta"", ""entity_group"": ""ORG"", ""score"": 0.5843}, {""word"": ""trump"", ""entity_group"": ""PER"", ""score"": 0.9144}, {""word"": ""indonesia"", ""entity_group"": ""GPE"", ""score"": 0.9704}, {""word"": ""amerika serikat"", ""entity_group"": ""GPE"", ""score"": 0.9893}, {""word"": ""badan pusat statistik bps"", ""entity_group"": ""ORG"", ""score"": 0.9666}, {""word"": ""afrika"", ""entity_group"": ""GPE"", ""score"": 0.9695}, {""word"": ""asia selatan"", ""entity_group"": ""GPE"", ""score"": 0.9667}, {""word"": ""pertama"", ""entity_group"": ""ORD"", ""score"": 0.8796}, {""word"": ""kementerian koordinator"", ""entity_group"": ""NOR"", ""score"": 0.7299}, {""word"": ""bidang perekonomian"", ""entity_group"": ""ORG"", ""score"": 0.5326}, {""word"": ""presiden as"", ""entity_group"": ""NOR"", ""score"": 0.935}, {""word"": ""donald trump"", ""entity_group"": ""PER"", ""score"": 0.9886}, {""word"": ""ketua umum"", ""entity_group"": ""NOR"", ""score"": 0.7475}, {""word"": ""gabungan perusahaan"", ""entity_group"": ""ORG"", ""score"": 0.5095}, {""word"": ""ekspor indonesia gpei"", ""entity_group"": ""NOR"", ""score"": 0.6347}, {""word"": ""benny soetrisno"", ""entity_group"": ""PER"", ""score"": 0.8676}, {""word"": ""as"", ""entity_group"": ""GPE"", ""score"": 0.9981}, {""word"": ""cost"", ""entity_group"": ""ORG"", ""score"": 0.9654}, {""word"": ""cnf"", ""entity_group"": ""NOR"", ""score"": 0.4475}, {""word"": ""cargo"", ""entity_group"": ""ORG"", ""score"": 0.5867}]"
9,Catat! Relaksasi TKDN untuk Produk AS terkait Barang IT dan Telko - CNBC Indonesia,https://www.cnbcindonesia.com/tech/20250414170617-37-625898/catat-relaksasi-tkdn-untuk-produk-as-terkait-barang-it-dan-telko,21,"[{""word"": ""jakarta"", ""entity_group"": ""GPE"", ""score"": 0.4561}, {""word"": ""cnbc"", ""entity_group"": ""NOR"", ""score"": 0.4412}, {""word"": ""indonesia"", ""entity_group"": ""ORG"", ""score"": 0.5036}, {""word"": ""pemerintah"", ""entity_group"": ""NOR"", ""score"": 0.6745}, {""word"": ""amerika serikat"", ""entity_group"": ""GPE"", ""score"": 0.959}, {""word"": ""teknologi informasi dan komunikasi"", ""entity_group"": ""ORG"", ""score"": 0.6858}, {""word"": ""tkdn"", ""entity_group"": ""LAW"", ""score"": 0.2814}, {""word"": ""as"", ""entity_group"": ""GPE"", ""score"": 0.9931}, {""word"": ""presiden as"", ""entity_group"": ""NOR"", ""score"": 0.7462}, {""word"": ""donald trump"", ""entity_group"": ""PER"", ""score"": 0.965}, {""word"": ""indonesia"", ""entity_group"": ""GPE"", ""score"": 0.9337}, {""word"": ""washington dc"", ""entity_group"": ""GPE"", ""score"": 0.972}, {""word"": ""april"", ""entity_group"": ""DAT"", ""score"": 0.9643}, {""word"": ""menteri koordinator bidang perekonomian"", ""entity_group"": ""NOR"", ""score"": 0.8294}, {""word"": ""airlangga hartarto"", ""entity_group"": ""PER"", ""score"": 0.9807}, {""word"": ""kantor"", ""entity_group"": ""LOC"", ""score"": 0.4393}, {""word"": ""kemenko perekonomian jakarta pusat"", ""entity_group"": ""NOR"", ""score"": 0.4458}, {""word"": ""wakil menteri investasi dan hilirisasi"", ""entity_group"": ""NOR"", ""score"": 0.8979}, {""word"": ""wakil kepala badan koordinasi penanaman modal todotua pasaribu"", ""entity_group"": ""NOR"", ""score"": 0.7521}, {""word"": ""hkt"", ""entity_group"": ""ORG"", ""score"": 0.3848}, {""word"": ""us"", ""entity_group"": ""LAW"", ""score"": 0.3351}]"
