url,judul,channel
https://www.cnbcindonesia.com/research/20250121134003-128-604841/trump-sebar-exceutive-order-emang-semengerikan-apa-buat-indonesia,Trump Sebar Exceutive Order: Emang Semengerikan Apa Buat Indonesia? - CNBC Indonesia,CNBC Indonesia
https://www.cnbcindonesia.com/research/20250121104028-128-604769/alasan-rupiah-berpesta-di-pelantikan-trump-dolar-bisa-rp15000an,"Alasan Rupiah 'Berpesta' di Pelantikan Trump, Dolar Bisa Rp15.000an? - CNBC Indonesia",CNBC Indonesia
https://www.cnbcindonesia.com/research/20250121225049-128-604990/trump-beri-kabar-baik-saatnya-menunggu-dolar-eksportir-balik-ke-ri,"Trump Beri Kabar Baik, Saatnya Menunggu Dolar Eksportir Balik ke RI - CNBC Indonesia",CNBC Indonesia
https://www.cnbcindonesia.com/research/20250304162959-128-615594/ihsg-merah-lagi-begini-penjelasan-dari-analis,"IHSG Merah Lagi, Begini Penjelasan dari Analis! - CNBC Indonesia",CNBC Indonesia
https://indodax.com/academy/bitcoin-200k-prediksi-harga-bernstein-2025-2026/,Bernstein: Bitcoin Bisa Naik 2x Lipat! Target $200K? - INDODAX,Indodax
https://www.cnbcindonesia.com/news/20250407215730-4-624044/penjelasan-lengkap-prabowo-respons-kebijakan-terbaru-tarif-trump-as,Penjelasan Lengkap Prabowo Respons Kebijakan Terbaru Tarif Trump AS - CNBC Indonesia,CNBC Indonesia
https://indodax.com/academy/dampak-penangguhan-tarif-trump-bitcoin-naik/,Dampak Penangguhan Tarif Trump: Bitcoin Naik Pesat - INDODAX,Indodax
https://infografik.bisnis.com/read/20250411/547/1868394/indonesia-perluas-akses-pasar-dunia-mengurangi-tekanan-tarif-trump,"Indonesia Perluas Akses Pasar Dunia, Mengurangi Tekanan Tarif Trump - Bisnis.com",Bisnis Indonesia
https://www.cnbcindonesia.com/tech/20250414170617-37-625898/catat-relaksasi-tkdn-untuk-produk-as-terkait-barang-it-dan-telko,Catat! Relaksasi TKDN untuk Produk AS terkait Barang IT dan Telko - CNBC Indonesia,CNBC Indonesia
https://www.antaranews.com/berita/4782869/donald-trump-dan-madman-theory,Donald Trump dan Madman Theory - ANTARA News,Antara
