channel,article_count,avg_length
CNBC Indonesia,195,3593.605128205128
Kompas,137,10423.985401459853
Bloombergtechnoz,104,1290.4711538461538
Detik,80,3377.1
Metrotvnews,60,1441.2333333333333
Tempo,58,4012.103448275862
CNN Indonesia,54,2644.4074074074074
Antara,38,3965.7368421052633
Bisnis Indonesia,27,3835.296296296296
Dw,22,5418.0
Kumparan,21,2975.1428571428573
SINDOnews,18,2176.4444444444443
BBC,15,8756.133333333333
VOA Indonesia,13,5047.923076923077
Liputan6,12,6106.0
Akurat.co,10,2629.0
Infobanknews,9,3934.5555555555557
Kompas.tv,8,2400.125
Cna,6,5586.833333333333
Republika,6,6987.166666666667
Kabarbursa,5,5681.8
Katadata,5,2550.4
Indodax,5,4667.0
Suara,5,2813.0
