Term,TF-IDF Score,Channel,Article Count
tarif,0.05652808650786241,Akurat.co,10
trump,0.05370637135341201,Akurat.co,10
negara,0.038339493282440094,Akurat.co,10
dagang,0.03785263761800726,Akurat.co,10
kebijakan,0.034845473724063436,Akurat.co,10
pasar,0.032813077737895685,Akurat.co,10
perdagangan,0.032488815314836786,Akurat.co,10
barang,0.032180299467967376,Akurat.co,10
china,0.03205937783249271,Akurat.co,10
ekonomi,0.030760942127648253,Akurat.co,10
tersebut,0.029734147082224733,Akurat.co,10
menjadi,0.028003881530841088,Akurat.co,10
global,0.027594413862297763,Akurat.co,10
harga,0.026355860665754405,Akurat.co,10
mitra,0.026336451558743704,Akurat.co,10
negosiasi,0.02630804364283333,Akurat.co,10
negara negara,0.024923978376032562,Akurat.co,10
ancaman,0.02482740396086889,Akurat.co,10
menyatakan,0.0247021748666652,Akurat.co,10
tarif trump,0.024535535918116247,Akurat.co,10
tarif,0.03985451590284541,Antara,38
trump,0.03340395144028831,Antara,38
negara,0.02991580883166765,Antara,38
indonesia,0.028783292327850547,Antara,38
kebijakan,0.026699010685096537,Antara,38
china,0.0264995896833511,Antara,38
perdagangan,0.025350060550423742,Antara,38
persen,0.024450897669180554,Antara,38
presiden,0.023928508186335913,Antara,38
dagang,0.022368106840232473,Antara,38
tersebut,0.02225870235540114,Antara,38
mengambil,0.022028082817877357,Antara,38
tertulis,0.021895232195352346,Antara,38
amerika,0.021871456388220353,Antara,38
kantor,0.02175945283981746,Antara,38
keras,0.02152640187353513,Antara,38
otomatis,0.02099702556446465,Antara,38
izin tertulis,0.020723216872500616,Antara,38
situs web,0.020723216872500616,Antara,38
situs,0.020723216872500616,Antara,38
tarif,0.03714504156378104,BBC,15
negara,0.03435124978465644,BBC,15
china,0.034009918227970524,BBC,15
trump,0.03222732689533383,BBC,15
sumber,0.027099344103665636,BBC,15
pasar,0.026762026600134423,BBC,15
sumber gambar,0.026710185581414008,BBC,15
gambar,0.026710185581414008,BBC,15
ekonomi,0.026704448247251385,BBC,15
barang,0.02653453665820616,BBC,15
besar,0.02625411231881919,BBC,15
perdagangan,0.02617378763936172,BBC,15
indonesia,0.02608539534124441,BBC,15
akhir,0.02532030455645483,BBC,15
produk,0.024329594116043077,BBC,15
pemerintah,0.024300666390398618,BBC,15
bbc,0.02409712777806825,BBC,15
banyak,0.023635066571057083,BBC,15
impor,0.02320447771539651,BBC,15
whatsapp,0.02313565335692073,BBC,15
indonesia,0.03276344757985207,Bisnis Indonesia,27
tarif,0.03209193556559824,Bisnis Indonesia,27
trump,0.026333587894319343,Bisnis Indonesia,27
negara,0.0260319818974534,Bisnis Indonesia,27
tersebut,0.02395367921257504,Bisnis Indonesia,27
kebijakan,0.023593054793898418,Bisnis Indonesia,27
china,0.022202845922821467,Bisnis Indonesia,27
ekspor,0.02215426070897366,Bisnis Indonesia,27
perdagangan,0.02208527836636429,Bisnis Indonesia,27
ekonomi,0.021357704542664013,Bisnis Indonesia,27
tahun,0.019937629851198554,Bisnis Indonesia,27
pemerintah,0.019288248236272357,Bisnis Indonesia,27
impor,0.019269063496666548,Bisnis Indonesia,27
menjadi,0.01891095608900662,Bisnis Indonesia,27
pasar,0.018900567182841412,Bisnis Indonesia,27
produk,0.01852217844521408,Bisnis Indonesia,27
sebesar,0.01769938160121111,Bisnis Indonesia,27
pertumbuhan,0.017577032812767124,Bisnis Indonesia,27
industri,0.016870165119214898,Bisnis Indonesia,27
langkah,0.01637160459890125,Bisnis Indonesia,27
tarif,0.03296899791661046,Bloombergtechnoz,104
trump,0.027122739584926527,Bloombergtechnoz,104
negara,0.025042889695575752,Bloombergtechnoz,104
china,0.023765704110094134,Bloombergtechnoz,104
tersebut,0.021074095178104043,Bloombergtechnoz,104
amerika,0.020257809499966365,Bloombergtechnoz,104
perdagangan,0.020106442699861737,Bloombergtechnoz,104
impor,0.019582311482522475,Bloombergtechnoz,104
pasar,0.019034547326543867,Bloombergtechnoz,104
presiden,0.018239222631241763,Bloombergtechnoz,104
kebijakan,0.018236325732072293,Bloombergtechnoz,104
donald,0.018045839391461642,Bloombergtechnoz,104
donald trump,0.01788625380496873,Bloombergtechnoz,104
harga,0.01771949221838842,Bloombergtechnoz,104
tahun,0.01751294717186135,Bloombergtechnoz,104
menjadi,0.017453746115240098,Bloombergtechnoz,104
amerika serikat,0.017040318929194834,Bloombergtechnoz,104
serikat,0.017040318929194834,Bloombergtechnoz,104
barang,0.016539503907956422,Bloombergtechnoz,104
hari,0.016409708747287272,Bloombergtechnoz,104
tarif,0.04049102355564277,CNBC Indonesia,195
trump,0.03409832266754718,CNBC Indonesia,195
