Rank,N-gram,TF-IDF Score
1,amerika serikat,0.027469323448894505
2,donald trump,0.023289584448210984
3,kebijakan tarif,0.022117624291739402
4,tarif impor,0.021222816821741985
5,negara negara,0.01927733190624051
6,tarif trump,0.018006551711442588
7,presiden donald,0.016837837580944846
8,presiden amerika,0.016290099284433212
9,perang dagang,0.016281156288395437
10,barang barang,0.015915561069039928
11,serikat donald,0.01565592616201398
12,tarif resiprokal,0.014337206592689075
13,salah satu,0.013594608065758015
14,tarif baru,0.012929219285754684
15,uni eropa,0.012758146424008736
16,sebesar persen,0.012755280742965893
17,gedung putih,0.012628746209948463
18,mengenakan tarif,0.012553136413522651
19,timbal balik,0.012176074233541622
20,bea masuk,0.012078846016757943
21,mitra dagang,0.011699974650762777
22,luar negeri,0.011350295259870202
23,tarif tinggi,0.01092777075867113
24,tarif timbal,0.010584633695626526
25,memberlakukan tarif,0.00996582942156917
26,tarif persen,0.009954065068792057
27,kanada meksiko,0.009944764661296424
28,kedua negara,0.009921144803348134
29,tarif tersebut,0.009900425407870075
30,sebagian besar,0.009779836977706267
31,kerja sama,0.00976807585540131
32,kenaikan tarif,0.00959007386951923
33,pertumbuhan ekonomi,0.009315889150198273
34,produk produk,0.0090578810670392
35,pemerintah indonesia,0.009011941815910965
36,perang tarif,0.008944062939906195
37,penerapan tarif,0.008935343113857342
38,suku bunga,0.00889126794045389
39,tarif sebesar,0.008848267574382307
40,barang impor,0.008814214736509483
41,presiden trump,0.008705640039456071
42,negara tersebut,0.008668497100702463
43,selama hari,0.008588531837502168
44,trump mengumumkan,0.00857478803048629
45,pemerintahan trump,0.008550525078804948
46,defisit perdagangan,0.008375199430676578
47,dikenakan tarif,0.008369349965012951
48,menaikkan tarif,0.008210750015519916
49,menerapkan tarif,0.008072486575554866
50,ekonomi global,0.007976626624311445
51,menjadi persen,0.007939026606388445
52,perdagangan global,0.007919098075117148
53,perusahaan perusahaan,0.007817065599232157
54,trump mengatakan,0.007710729725269553
55,mata uang,0.007702483295801527
56,menteri keuangan,0.007613682859010711
57,sejumlah negara,0.00752846390759013
58,tarif tambahan,0.00737675584021088
59,nilai tukar,0.00720311796282944
60,tarif presiden,0.007187097380524912
61,perdagangan internasional,0.0071835455043653094
62,pengenaan tarif,0.007167658884979576
63,baja aluminium,0.007093481349064267
64,termasuk indonesia,0.006936771387780715
65,ekspor indonesia,0.006930945614943757
66,mulai berlaku,0.006840684702991985
67,meksiko kanada,0.006827100301649981
68,perdana menteri,0.006714055593892524
69,daya saing,0.006595453550908392
70,kebijakan perdagangan,0.006559657081064553
71,tahun lalu,0.006559463698783476
72,kebijakan trump,0.006553257927614545
73,kenaikan harga,0.006539425623609604
74,bank sentral,0.00649219585593803
75,tarif barang,0.0064667851395682095
76,impor china,0.006460422830567171
77,waktu setempat,0.0064600988419925365
