Rank,N-gram,TF-IDF Score
1,presiden donald trump,0.025159176825831294
2,presiden amerika serikat,0.023296192026405715
3,amerika serikat donald,0.022572993917465645
4,serikat donald trump,0.021709362375403083
5,tarif timbal balik,0.01391324459937207
6,kebijakan tarif trump,0.012781981863115466
7,kebijakan tarif impor,0.009950281478882427
8,menjadi salah satu,0.007645808908982266
9,perekonomian airlangga hartarto,0.007642689165920974
10,negeri paman sam,0.0076308131066228045
11,kebijakan tarif presiden,0.00730642716696847
12,nilai tukar rupiah,0.0069704058578808
13,jakarta presiden amerika,0.006692434446344729
14,trump mengenakan tarif,0.006638291397182361
15,barang barang china,0.006635550460347325
16,koordinator bidang perekonomian,0.006623017379208116
17,tarif impor baru,0.006620335959778838
18,kebijakan tarif resiprokal,0.00660616820642571
19,menteri koordinator bidang,0.006557997090931884
20,menteri luar negeri,0.006437860234574521
21,donald trump mengumumkan,0.006362862985325837
22,trump memberlakukan tarif,0.006346305632733844
23,tarif barang barang,0.0062113875926855
24,tarif presiden donald,0.0061485949271877826
25,tarif sebesar persen,0.006055487799211362
26,menteri keuangan scott,0.006023260748175263
27,tarif bea masuk,0.0059274938403982855
28,keuangan scott bessent,0.005896474827866335
29,bidang perekonomian airlangga,0.005864685652652535
30,menaikkan tarif impor,0.005841053663819387
31,presiden prabowo subianto,0.005828253146544939
32,amerika serikat china,0.00568232068308109
33,bawah melanjutkan membaca,0.00559548302856131
34,scroll bawah melanjutkan,0.00559548302856131
35,atas barang barang,0.005563105383909036
36,mitra dagang utama,0.00552591830354108
37,kebijakan tarif baru,0.0054150430957379085
38,trump mengumumkan tarif,0.0053994104432149685
39,salah satu negara,0.005328660835704257
40,organisasi perdagangan dunia,0.00524615667842229
41,tarif amerika serikat,0.005234544351817628
42,negara termasuk indonesia,0.005142163144314318
43,negara mitra dagang,0.005074170956877648
44,dagang amerika serikat,0.0050482508326813984
45,perdagangan howard lutnick,0.005014860108680052
46,menteri perdagangan howard,0.005014860108680052
47,produk domestik bruto,0.00499562691361148
48,kedua belah pihak,0.004908563175409654
49,indonesia amerika serikat,0.004860739241846666
50,gambas video detik,0.004851010537064912
51,impor baja aluminium,0.004650698789437602
52,kenaikan tarif impor,0.004635287393790965
53,tarif impor trump,0.004544136118627797
54,domestik bruto pdb,0.004425606290518568
55,dampak kebijakan tarif,0.004400431077052755
56,pemerintah amerika serikat,0.0043733387750996555
57,barang barang impor,0.0043673359124527505
58,kementerian perdagangan china,0.004366729252445979
59,pemutusan hubungan kerja,0.004342096588741471
60,ekonomi terbesar dunia,0.004321125216639904
61,persen menjadi persen,0.004267421989907731
62,negara negara mitra,0.0042664101959192825
63,perdagangan amerika serikat,0.004259137033861113
64,kementerian luar negeri,0.004243466033585572
65,tarif presiden amerika,0.004200000371103492
66,merupakan salah satu,0.00416292031841539
67,kanada meksiko china,0.00415179500896747
68,perang dagang china,0.0041292858868579125
69,trump menerapkan tarif,0.004119570565300451
70,trump menaikkan tarif,0.004087653716625991
71,persen barang barang,0.0040827194649702084
72,tarif impor tinggi,0.004060034839964
73,perdagangan dunia wto,0.003995858187570948
74,menurunkan suku bunga,0.003979164291469237
75,mengenakan tarif persen,0.003977626593907045
76,berita terbaru hari,0.003973457037311277
77,mengenakan tarif impor,0.003972369949351735
78,bea masuk impor,0.0039269844296526395
79,bea masuk sebesar,0.0038544032372699885
80,tarif impor sebesar,0.0038082149603081133
81,beberapa tahun terakhir,0.003804134113758429
82,tarif besar besaran,0.0037963578611679835
83,masa jabatan pertama,0.0037180619262398833
84,negara negara tersebut,0.003703901144053826
85,trump menetapkan tarif,0.003695934398371478
86,dilarang keras mengambil,0.0036914786411812108
87,jepang korea selatan,0.003689889252140007
88,kedua negara tersebut,0.003670003120786345
89,rantai pasok global,0.00361928734755002
90,impor barang barang,0.0036190453829722867
91,trump menandatangani perintah,0.003615412062953261
92,tarif impor china,0.003607663349838943
93,pengindeksan otomatis situs,0.0035788196119626815
94,mengambil pengindeksan otomatis,0.0035788196119626815
95,otomatis situs web,0.0035788196119626815
96,keras mengambil pengindeksan,0.0035788196119626815
97,situs web izin,0.0035788196119626815
98,web izin tertulis,0.0035788196119626815
99,juru bicara kementerian,0.003566983830093592
100,memberlakukan tarif impor,0.003553151936335745
101,penerapan tarif resiprokal,0.003547776594612282
102,impor amerika serikat,0.003542019421284974
103,tarif impor baja,0.0035236663701447846
104,impor kanada meksiko,0.0035000591749424635
105,negara asia tenggara,0.00348251214841452
106,pertumbuhan ekonomi global,0.003466379234429756
107,negeri tirai bambu,0.003466261425633425
108,tarif impor barang,0.0034658846702707207
109,waktu baca menit,0.0034612418855328483
110,wib waktu baca,0.0034612418855328483
111,keuangan sri mulyani,0.0034530708151285817
112,menteri keuangan sri,0.0034530708151285817
113,memicu perang dagang,0.0034362650767387837
114,donald trump mengatakan,0.003426622850583788
115,negara negara asia,0.003424190111729097
