Rank,N-gram,TF-IDF Score
1,tarif,0.04742701495837244
2,trump,0.039738536183653805
3,negara,0.036332804326186914
4,indonesia,0.03475427658105426
5,perdagangan,0.03012077110621191
6,china,0.02992683017116548
7,kebijakan,0.02957049027927328
8,impor,0.028898808075329484
9,amerika,0.028107864748899234
10,barang,0.02771263592844107
11,persen,0.027390877989082893
12,tersebut,0.027082329298637662
13,produk,0.025582583520732977
14,ekonomi,0.025496189058864065
15,presiden,0.025322493450332238
16,menjadi,0.02504374619437864
17,pasar,0.024373836930663993
18,serikat,0.02426133180198051
19,dagang,0.023262760868899442
20,baru,0.022035253245539056
21,sebesar,0.021640200874058848
22,global,0.02153426118737446
23,ekspor,0.021447787589771415
24,pemerintah,0.021131535126772655
25,besar,0.020955127534900857
26,donald,0.020572154473794048
27,hari,0.020520129946722348
28,mengatakan,0.020507631509656992
29,tahun,0.020380634906937232
30,harga,0.020228543922609785
31,perusahaan,0.019117038354495904
32,tinggi,0.019035786156790264
33,hingga,0.018886983262394706
34,negeri,0.018020244630278237
35,langkah,0.017980198703451317
36,dunia,0.017836860104997288
37,perang,0.01776550468433422
38,termasuk,0.017733630654864226
39,april,0.017729823349590244
40,beberapa,0.01725753509027665
41,masuk,0.017239096745826164
42,selama,0.01721239947584428
43,negosiasi,0.017112661275952193
44,industri,0.01702696611810913
45,atas,0.01668509619098146
46,dampak,0.016619886521881948
47,banyak,0.016436624956636944
48,satu,0.016289662113488694
49,sebelumnya,0.016264534538407295
50,kanada,0.0161763540424351
51,jakarta,0.016126751874676815
52,mulai,0.016088464713026714
53,menteri,0.01603860430414285
54,miliar,0.015973746398050947
55,eropa,0.015761917232765647
56,lalu,0.01529769471660302
57,melakukan,0.015036534502964966
58,sama,0.014946265441930695
59,waktu,0.0148473414415213
60,semua,0.014758955962498536
61,dikenakan,0.014756516367188754
62,meksiko,0.014742109990058198
63,membuat,0.014676432890507244
64,resiprokal,0.01446669587329288
65,kenaikan,0.014441726495820999
66,kedua,0.01440560174826356
67,sangat,0.0143045389410751
68,tengah,0.014103166490933182
69,sektor,0.013934476094972613
70,mitra,0.013874697110961029
71,berlaku,0.013826345313976673
72,bea,0.01382381536866079
73,tetap,0.013780816198883016
74,merupakan,0.013622104861769476
75,pertumbuhan,0.013588376244309114
76,utama,0.013509677480882365
77,meningkatkan,0.01349271690468439
78,mengenakan,0.013477017167904828
79,sejumlah,0.013465586665626306
80,mencapai,0.013447285584021128
81,salah,0.013431962303177713
82,kerja,0.013372575851632488
83,mengumumkan,0.01331767406947767
84,saham,0.013264566141710848
85,sejak,0.01310646540639391
86,keuangan,0.01307492821409592
87,balik,0.012932086672315901
88,terus,0.012895229565510872
89,terjadi,0.01289233558829908
90,terkait,0.012827283451583198
91,perekonomian,0.012789148110858949
92,kesepakatan,0.012727047251801758
93,berbagai,0.012604073830911581
94,penurunan,0.01257567242074137
95,luar,0.012507466944483854
96,tambahan,0.012505287842849383
97,terbesar,0.012453637459115763
98,nilai,0.01244964547768051
99,turun,0.012417448419606328
100,memiliki,0.012337575653532287
101,investasi,0.01232907453580282
102,nasional,0.012298898135227884
103,bulan,0.012297963217874823
104,pertama,0.012271305214469858
105,memberikan,0.012254797713284847
106,putih,0.01223025957028525
107,uni,0.012144257621355386
108,awal,0.012107624801429922
109,produksi,0.011948697941336892
110,gedung,0.011939903680133484
111,rabu,0.0118903807850691
112,airlangga,0.011843661561666656
113,kamis,0.011839494656220181
114,timbal,0.011822225459267529
115,langsung,0.011820733895422217
116,internasional,0.01180906161310257
117,bank,0.011799424427276687
118,diberlakukan,0.011749986252753381
119,biaya,0.011645576954586876
120,mengalami,0.011618042258440446
121,jadi,0.011617899920060007
122,ketidakpastian,0.011611352768979382
123,lainnya,0.011601829512056419
124,dolar,0.011571135776581757
125,per,0.011521302440870372
126,tak,0.0114792768363336
127,baik,0.011424559473924597
128,pemerintahan,0.011396284238265636
129,balasan,0.011388753915939149
130,menghadapi,0.011266159726955549
131,hubungan,0.011246244178652463
132,naik,0.011237179163196028
133,memberlakukan,0.01101970296871289
134,melalui,0.01096148459128938
135,menerapkan,0.010947574872102607
136,bahkan,0.010945068574798997
137,pernyataan,0.010862998343979254
138,daya,0.0108518456479197
139,washington,0.010837208044975738
140,selasa,0.010802514419380588
141,menaikkan,0.010797308337530964
142,menyebut,0.010788900132792517
143,sebagian,0.010768232703314052
144,data,0.01072860273126473
145,domestik,0.010700202160838713
146,menyatakan,0.010680029702853049
147,defisit,0.010645879206385005
148,minggu,0.010560930739660725
149,depan,0.010550302433335617
150,pajak,0.010532158970149193
151,asia,0.010454000876773574
152,sebuah,0.010410628957125172
153,kementerian,0.010407050182347156
154,apa,0.010381286133011418
155,mungkin,0.010306104122427811
156,mobil,0.010282511961280884
157,dilakukan,0.010252060474015756
158,tiongkok,0.010196629389200424
159,jumat,0.010196280022560218
160,inflasi,0.010174471458706669
161,dikutip,0.010170443283996522
162,konsumen,0.010162022269900383
163,mendorong,0.010157710924714552
164,menunjukkan,0.010129254525528776
165,berdampak,0.010116989457170093
166,kemudian,0.010046773967489538
167,kemungkinan,0.009980973708010122
168,produsen,0.009953739669303267
169,asal,0.009917681346077723
170,tindakan,0.00991651519244922
171,senin,0.009889159545247593
172,mengambil,0.009863484220009404
173,bisnis,0.009797225952414727
174,pihak,0.00975673751404407
175,bukan,0.009751727845851729
176,semakin,0.009741436385307056
177,kini,0.009701027688320905
178,terakhir,0.009678033104896037
179,orang,0.009663407100520913
180,meski,0.00965696167517818
181,mengurangi,0.009634348297805668
182,tekanan,0.009609118151756923
183,ancaman,0.009577193589655811
184,pertemuan,0.009561253308125642
185,akibat,0.009546800675659417
186,seluruh,0.00951064442496973
187,diperkirakan,0.009498544790386016
188,juta,0.009486907975529184
189,rupiah,0.009446951020623026
190,signifikan,0.009446359488778198
191,berpotensi,0.009424146953482088
192,meningkat,0.00941904772338088
193,sedang,0.0093581083083656
194,beijing,0.009333121124884753
195,pekan,0.009331317852229919
196,menegaskan,0.009317116467675898
197,penerapan,0.009315972857860417
198,masa,0.00931175087102849
199,sendiri,0.009248152914992187
200,investor,0.009229047906409863
201,katanya,0.009221831151441385
202,permintaan,0.009180962328186404
203,bagian,0.009179024960080603
204,baja,0.009177603545501753
205,meskipun,0.009172102576283663
206,penting,0.009161920237499673
207,suku,0.009133454278843621
208,manufaktur,0.009095296276959573
209,minyak,0.009094505212274246
210,total,0.009063522531443899
211,terutama,0.009048823757398811
212,paling,0.009047788723549314
213,bawah,0.00901213603839879
214,teknologi,0.009003200146099096
215,triliun,0.008991613762337413
216,menurunkan,0.0089871762819659
217,kondisi,0.00898352973809963
218,komoditas,0.008968179088037926
219,perlu,0.00894039398790152
220,rantai,0.008923810791628625
221,hampir,0.008904008617260647
222,vietnam,0.0088911153572523
223,segera,0.008848147687051226
224,terbaru,0.008835970440135668
225,dibandingkan,0.008832862514071501
226,angka,0.008831393687041087
227,resmi,0.008826453035651013
228,memicu,0.00881686937323443
229,kali,0.00881161318815774
230,kekhawatiran,0.008785495560865265
231,bersama,0.008754972776878664
232,tiga,0.008728214686837432
233,tingkat,0.008726857996609202
234,sumber,0.00871537246342078
235,strategi,0.00871418628617636
236,diterapkan,0.008707660445287438
237,rencana,0.008697974186370241
238,energi,0.0086886065069038
239,mana,0.008687722522008352
240,berdasarkan,0.008664623675314323
241,level,0.008650790747111475
242,scroll,0.008623656685119609
243,masing,0.008616454885400568
244,menilai,0.008601378733990934
245,ekonom,0.008597988638486789
246,potensi,0.00857038383725436
247,upaya,0.00854768414783292
248,lanjut,0.008527168243051358
249,uang,0.008485889124650876
250,akhir,0.00848437635147642
251,the,0.008476461990574488
252,keputusan,0.00844924986872028
253,indeks,0.008428540311644214
254,pabrik,0.008422647707717735
255,posisi,0.008420959485144808
256,laporan,0.008408417356118152
257,daftar,0.0082749645926616
258,terkena,0.008228445603483854
259,menyebabkan,0.008174247360742877
260,bidang,0.008148450274676835
261,dasar,0.008133223707116784
262,februari,0.008085840172186356
263,pelaku,0.00807015649945545
264,maret,0.008063972958035875
265,jepang,0.008035262471975554
266,berada,0.008029600531133057
267,ketegangan,0.008011627593617078
268,hasil,0.007985135991306314
269,sisi,0.00796529625909019
270,memperkuat,0.00793044737758944
271,ujarnya,0.007873409804151006
272,pengumuman,0.007869132362138763
273,jangka,0.007859749846857018
274,strategis,0.007853691881529963
275,pejabat,0.007831524271788213
276,cina,0.007795196776260016
277,perjanjian,0.0077412848689937565
278,januari,0.007697056836549403
279,bakal,0.007690464493709753
280,peningkatan,0.007687971316566711
281,soal,0.007682267304762497
282,rendah,0.007671975523004563
283,kepentingan,0.007669192854529938
284,peluang,0.007649106885644617
285,masalah,0.007600276437178475
286,membalas,0.007585989931227108
287,otomotif,0.0075682683805321695
288,aluminium,0.007565117411754723
289,prabowo,0.00756364557490395
290,diumumkan,0.00755347068074709
291,senilai,0.007549861928143737
292,adil,0.007546654046220758
293,sistem,0.007539175368154421
294,selatan,0.007493743862131511
295,menekan,0.007474462094180328
296,india,0.007462892378949937
297,terdampak,0.007435647062315232
298,usd,0.0074152753909923486
299,pembicaraan,0.007405910173731568
300,bunga,0.007405495596740261
