Term,TF-IDF Score,Document Type,Article Count
tarif,0.04183347233179222,Analisis,69
trump,0.033232146863556244,Analisis,69
indonesia,0.03303036198311704,Analisis,69
negara,0.0298730229098695,Analisis,69
perdagangan,0.02891530157732331,Analisis,69
pasar,0.02617906844397086,Analisis,69
kebijakan,0.02575334288380272,Analisis,69
impor,0.02525597002945292,Analisis,69
menjadi,0.02476284728345585,Analisis,69
ekonomi,0.024416201054510034,Analisis,69
produk,0.024250639292685484,Analisis,69
tersebut,0.024169751653797724,Analisis,69
barang,0.02396420531996035,Analisis,69
china,0.023785855777656673,Analisis,69
persen,0.023121851397677667,Analisis,69
amerika,0.022322683128246507,Analisis,69
sebesar,0.022275266156985305,Analisis,69
global,0.021911773698807646,Analisis,69
harga,0.021647541520189502,Analisis,69
hari,0.020373789965447173,Analisis,69
tarif,0.038965161399835545,Berita,854
trump,0.03279807990246842,Berita,854
negara,0.029770474887895512,Berita,854
indonesia,0.028516202452064245,Berita,854
china,0.024582422845048798,Berita,854
kebijakan,0.02453284424391464,Berita,854
perdagangan,0.02448994387459091,Berita,854
impor,0.023599829951905533,Berita,854
amerika,0.023454463849540544,Berita,854
tersebut,0.02244045483821283,Berita,854
barang,0.022328825366587878,Berita,854
persen,0.022220320949335706,Berita,854
presiden,0.02105757780935617,Berita,854
ekonomi,0.020909306075440375,Berita,854
produk,0.0209083466570025,Berita,854
menjadi,0.020595092426271094,Berita,854
serikat,0.020290403291844464,Berita,854
amerika serikat,0.0201271437347334,Berita,854
pasar,0.020077877388681508,Berita,854
dagang,0.01908517647676906,Berita,854
tarif,0.03960917299339901,Opini,76
trump,0.03817217561696829,Opini,76
negara,0.032138328045405604,Opini,76
china,0.02982982883755505,Opini,76
perdagangan,0.026116609448340836,Opini,76
presiden,0.025355859687459868,Opini,76
indonesia,0.025049561933691077,Opini,76
amerika,0.02479048716688091,Opini,76
kebijakan,0.023712466438452803,Opini,76
mengatakan,0.023530784572649587,Opini,76
barang,0.02344804823503131,Opini,76
tersebut,0.02289250471587411,Opini,76
ekonomi,0.022774517470230866,Opini,76
impor,0.02268984260146934,Opini,76
pasar,0.02268432519623726,Opini,76
menjadi,0.021703193832845618,Opini,76
hari,0.020709711971434334,Opini,76
besar,0.020294901245334087,Opini,76
baru,0.02012810125957112,Opini,76
serikat,0.020003445433995733,Opini,76
