Term,TF-IDF Score,Period,Article Count
tarif,0.04062492743779961,2025Q1,226
trump,0.03713305301981858,2025Q1,226
negara,0.02898816082093409,2025Q1,226
perdagangan,0.026383192314266522,2025Q1,226
impor,0.025747302437183383,2025Q1,226
china,0.02563248960282408,2025Q1,226
kebijakan,0.025536077156075625,2025Q1,226
kanada,0.02538349932775139,2025Q1,226
amerika,0.02512336416189637,2025Q1,226
meksiko,0.023558972066990282,2025Q1,226
barang,0.023335719391304167,2025Q1,226
tersebut,0.02324470009755161,2025Q1,226
presiden,0.02283359227937885,2025Q1,226
ekonomi,0.02224159158546212,2025Q1,226
persen,0.021025601024643886,2025Q1,226
pasar,0.020478340029436205,2025Q1,226
menjadi,0.020380046282697968,2025Q1,226
serikat,0.01997516338226006,2025Q1,226
amerika serikat,0.01973611919102279,2025Q1,226
mengatakan,0.019651767026557455,2025Q1,226
