Term,TF-IDF Score,Period,Article Count
tarif,0.04062492743779961,2025Q1,226
trump,0.03713305301981858,2025Q1,226
negara,0.02898816082093409,2025Q1,226
perdagangan,0.026383192314266522,2025Q1,226
impor,0.025747302437183383,2025Q1,226
china,0.02563248960282408,2025Q1,226
kebijakan,0.025536077156075625,2025Q1,226
kanada,0.02538349932775139,2025Q1,226
amerika,0.02512336416189637,2025Q1,226
meksiko,0.023558972066990282,2025Q1,226
barang,0.023335719391304167,2025Q1,226
tersebut,0.02324470009755161,2025Q1,226
presiden,0.02283359227937885,2025Q1,226
ekonomi,0.02224159158546212,2025Q1,226
persen,0.021025601024643886,2025Q1,226
pasar,0.020478340029436205,2025Q1,226
menjadi,0.020380046282697968,2025Q1,226
serikat,0.01997516338226006,2025Q1,226
amerika serikat,0.01973611919102279,2025Q1,226
mengatakan,0.019651767026557455,2025Q1,226
tarif,0.03897407370688149,2025Q2,758
trump,0.03217330071641905,2025Q2,758
indonesia,0.03054440463733067,2025Q2,758
negara,0.03038861783925611,2025Q2,758
china,0.024765579959424393,2025Q2,758
perdagangan,0.02451765407916029,2025Q2,758
kebijakan,0.024340230632617574,2025Q2,758
impor,0.02319067504592245,2025Q2,758
amerika,0.023158250133000626,2025Q2,758
persen,0.0226462683177996,2025Q2,758
tersebut,0.022475965934976302,2025Q2,758
barang,0.02245286785090779,2025Q2,758
produk,0.021507937067807795,2025Q2,758
menjadi,0.021185508879223994,2025Q2,758
ekonomi,0.021077459646827796,2025Q2,758
presiden,0.020872615873722383,2025Q2,758
pasar,0.020664536324503463,2025Q2,758
serikat,0.0203160247886097,2025Q2,758
amerika serikat,0.02020456409556209,2025Q2,758
dagang,0.01935992064887807,2025Q2,758
indonesia,0.0433652572673604,2025Q3,7
industri,0.0381153960846772,2025Q3,7
global,0.03063848728609979,2025Q3,7
nasional,0.029163474147296635,2025Q3,7
tarif,0.028966944949508227,2025Q3,7
ekonomi,0.02833194590805569,2025Q3,7
negeri,0.028277147056926244,2025Q3,7
ekspor,0.027712635284934152,2025Q3,7
kebijakan,0.027554974829164604,2025Q3,7
menjadi,0.02735960108856527,2025Q3,7
pasar,0.026237632720154974,2025Q3,7
produk,0.026179915555058584,2025Q3,7
bunga,0.025360032189894022,2025Q3,7
harga,0.02520269548358875,2025Q3,7
sektor,0.025055735189795543,2025Q3,7
suku,0.024668640068260403,2025Q3,7
suku bunga,0.024668640068260403,2025Q3,7
trump,0.02398407995369603,2025Q3,7
terlalu,0.023759049193051312,2025Q3,7
negara,0.02361996028663881,2025Q3,7
kontribusi,0.056549224428044,2025Q4,3
spesial,0.045806928436570866,2025Q4,3
pesan,0.045806928436570866,2025Q4,3
apresiasi,0.045806928436570866,2025Q4,3
apresiasi spesial,0.045806928436570866,2025Q4,3
pembaca,0.04243826940400928,2025Q4,3
kontributor,0.04028462895835447,2025Q4,3
penggunaan,0.04028462895835447,2025Q4,3
pasar,0.03919471859021746,2025Q4,3
indonesia,0.03772680101525752,2025Q4,3
fitur,0.037607223968916,2025Q4,3
maupun,0.037607223968916,2025Q4,3
kebijakan,0.03611666829070441,2025Q4,3
hingga,0.03509800700583195,2025Q4,3
pabrik,0.03426936902073531,2025Q4,3
sektor,0.03426936902073531,2025Q4,3
industri,0.03303246374030552,2025Q4,3
baru,0.03276144694133988,2025Q4,3
menjadi,0.03276144694133988,2025Q4,3
the,0.032670447868614214,2025Q4,3
wib,0.049128595529004615,2026Q1,5
tarif,0.04531399484687005,2026Q1,5
threat,0.044927411348617136,2026Q1,5
trump,0.04438055293198864,2026Q1,5
asia,0.03865623099916533,2026Q1,5
tersebut,0.0370164219497756,2026Q1,5
negara,0.036386083693902185,2026Q1,5
bitcoin,0.03562895543336054,2026Q1,5
pasar,0.03377458932129099,2026Q1,5
harga,0.03331774998314558,2026Q1,5
pemicu,0.031877341326435875,2026Q1,5
triple,0.031877341326435875,2026Q1,5
ihsg,0.031877341326435875,2026Q1,5
triple threat,0.031877341326435875,2026Q1,5
ternyata,0.031877341326435875,2026Q1,5
anjlok,0.031877341326435875,2026Q1,5
kripto,0.029990649360579498,2026Q1,5
risiko,0.029293125811055525,2026Q1,5
kebijakan,0.028664797582916086,2026Q1,5
eropa,0.028514943018824585,2026Q1,5
